"filename", "language", "PostCSS", "JavaScript", "XML", "PHP", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Superadmin.php", "PHP", 0, 0, 0, 16, 0, 0, 0, 6, 22
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Ubicacione.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 7, 26
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\User.php", "PHP", 0, 0, 0, 25, 0, 0, 17, 7, 49
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Models\Usuario.php", "PHP", 0, 0, 0, 24, 0, 0, 0, 8, 32
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 0, 12, 0, 0, 8, 5, 25
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 0, 18, 0, 0, 6, 6, 30
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\View\Components\AppLayout.php", "PHP", 0, 0, 0, 11, 0, 0, 3, 4, 18
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\app\View\Components\GuestLayout.php", "PHP", 0, 0, 0, 11, 0, 0, 3, 4, 18
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\bootstrap\app.php", "PHP", 0, 0, 0, 14, 0, 0, 2, 3, 19
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\bootstrap\providers.php", "PHP", 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\composer.json", "JSON", 0, 0, 0, 0, 81, 0, 0, 1, 82
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\composer.lock", "JSON", 0, 0, 0, 0, 9444, 0, 0, 1, 9445
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\config\app.php", "PHP", 0, 0, 0, 22, 0, 0, 82, 23, 127
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\config\auth.php", "PHP", 0, 0, 0, 28, 0, 0, 74, 14, 116
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\config\cache.php", "PHP", 0, 0, 0, 57, 0, 0, 34, 18, 109
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\config\database.php", "PHP", 0, 0, 0, 109, 0, 0, 43, 23, 175
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\config\filesystems.php", "PHP", 0, 0, 0, 36, 0, 0, 32, 13, 81
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\config\logging.php", "PHP", 0, 0, 0, 79, 0, 0, 33, 21, 133
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\config\mail.php", "PHP", 0, 0, 0, 57, 0, 0, 43, 19, 119
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\config\queue.php", "PHP", 0, 0, 0, 52, 0, 0, 44, 17, 113
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\config\services.php", "PHP", 0, 0, 0, 20, 0, 0, 11, 8, 39
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\config\session.php", "PHP", 0, 0, 0, 23, 0, 0, 160, 35, 218
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\factories\UserFactory.php", "PHP", 0, 0, 0, 25, 0, 0, 14, 6, 45
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 0, 0, 38, 0, 0, 6, 6, 50
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 0, 0, 25, 0, 0, 6, 5, 36
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 0, 0, 46, 0, 0, 6, 6, 58
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_05_16_001231_create_rols_table.php", "PHP", 0, 0, 0, 19, 0, 0, 6, 4, 29
"c:\Users\USUARIO\Desktop\6to sem\proyecto emaverde\Copia_git1\Proyecto-sistema-emaverde\database\migrations\2025_05_16_001302_create_usuarios_table.php", "PHP", 0, 0, 0, 24, 0, 0, 6, 5, 35
